id	person_id	membership_type	start_date	end_date	status	notes	created_at	updated_at	mosque_id
1001	1001	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1002	1002	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1003	1003	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1004	1004	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1005	1005	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1006	1006	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1007	1007	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1008	1008	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1009	1009	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1010	1010	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1011	1011	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1012	1012	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1013	1013	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1014	1014	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1015	1015	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1016	1016	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1017	1017	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1018	1018	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1019	1019	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1020	1020	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1021	1021	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1022	1022	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1023	1023	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1024	1024	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1025	1025	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1026	1026	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1027	1027	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1028	1028	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1029	1029	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1030	1030	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1031	1031	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1032	1032	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:17	2026-02-22 18:42:17	1
1033	1033	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:18	2026-02-22 18:42:18	1
1034	1034	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:18	2026-02-22 18:42:18	1
1035	1035	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:18	2026-02-22 18:42:18	1
1036	1036	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:18	2026-02-22 18:42:18	1
1037	1037	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:18	2026-02-22 18:42:18	1
1038	1038	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:18	2026-02-22 18:42:18	1
1039	1039	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:18	2026-02-22 18:42:18	1
1040	1040	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:18	2026-02-22 18:42:18	1
1041	1041	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:18	2026-02-22 18:42:18	1
1042	1042	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:18	2026-02-22 18:42:18	1
1043	1043	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:18	2026-02-22 18:42:18	1
1044	1044	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:18	2026-02-22 18:42:18	1
1045	1045	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:18	2026-02-22 18:42:18	1
