template_id	permission_id
1	1
2	1
3	1
4	1
1	2
3	2
4	2
1	3
1	4
1	5
1	6
2	6
4	6
1	7
1	8
3	8
1	9
3	9
1	10
3	10
1	11
1	14
1	15
2	15
1	16
2	16
1	17
2	17
3	17
1	18
3	18
1	19
1	21
3	21
1	22
3	22
1	26
3	26
1	27
3	27
1	28
3	28
1	29
3	29
1	30
3	30
1	31
3	31
1	32
3	32
1	33
1	34
1	35
1	36
1	37
1	38
1	39
1	40
1	41
1	42
3	42
1	43
1	44
3	44
1	45
1	46
2	46
3	46
1	47
2	47
3	47
1	48
3	48
1	49
2	49
3	49
1	50
1	51
1	52
2	52
1	53
1	55
1	56
1	57
1	58
1	59
1	60
